,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost
0,1,13,<pyews.server_abstractions.Configuration object at 0x000002246D8C5DE0>,11,7,1,0,,,,,2.0,2.0
1,2,26,<pyews.server_abstractions.Configuration object at 0x000002246D8D90C0>,15,7,1,0,,,,,2.0,2.0
2,3,34,<pyews.server_abstractions.Configuration object at 0x000002246D8C7760>,13,7,1,0,,,,,2.0,2.0
3,4,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,7,0,1,,,,,2.0,2.0
4,5,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,6,1,0,,,,,2.0,2.0
5,6,10,<pyews.server_abstractions.Configuration object at 0x000002246D8FDBA0>,27,7,0,1,,,,,2.0,2.0
6,7,13,<pyews.server_abstractions.Configuration object at 0x000002246D8C5DE0>,11,8,0,1,,,,,2.0,2.0
7,8,32,<pyews.server_abstractions.Configuration object at 0x0000022473E38460>,41,6,0,1,,,,,0.27111111111111114,0.002642963059537262
8,9,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,5,1,0,,,,,0.21733333333333332,0.26912595698583663
9,10,9,<pyews.server_abstractions.Configuration object at 0x000002246D8EF4C0>,24,8,0,1,,,,,2.0,2.0
10,11,12,<pyews.server_abstractions.Configuration object at 0x000002246D8EE8C0>,23,7,1,0,,,,,2.0,2.0
11,12,11,<pyews.server_abstractions.Configuration object at 0x000002246D8DBA00>,19,7,1,0,,,,,2.0,2.0
12,13,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,3,1,0,,,,,2.0,2.0
13,14,12,<pyews.server_abstractions.Configuration object at 0x000002246D8EE8C0>,23,7,0,1,,,,,2.0,2.0
14,15,14,<pyews.server_abstractions.Configuration object at 0x0000022473E0F2E0>,35,5,0,1,,,,,2.0,2.0
15,16,16,<pyews.server_abstractions.Configuration object at 0x0000022473E20160>,36,6,0,1,,,,,2.0,2.0
16,17,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,1,0,,,,,0.31499999999999995,0.3054506676452877
17,18,17,<pyews.server_abstractions.Configuration object at 0x000002246D8FC280>,25,6,1,0,,,,,2.0,2.0
18,19,31,<pyews.server_abstractions.Configuration object at 0x000002246D8DAF20>,18,7,0,1,,,,,2.0,2.0
19,20,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,6,1,0,,,,,2.0,2.0
20,21,28,<pyews.server_abstractions.Configuration object at 0x000002246D8B6DA0>,7,7,0,1,,,,,2.0,2.0
21,22,8,<pyews.server_abstractions.Configuration object at 0x000002246D8D83A0>,14,5,0,1,,,,,2.0,2.0
22,23,39,<pyews.server_abstractions.Configuration object at 0x0000022473E0CE80>,32,6,1,0,,,,,2.0,2.0
23,24,34,<pyews.server_abstractions.Configuration object at 0x000002246D8C7760>,13,7,1,0,,,,,2.0,2.0
24,25,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,,,,,0.27666666666666667,0.17264681008681748
25,26,35,<pyews.server_abstractions.Configuration object at 0x000002246D8C51E0>,10,8,0,1,,,,,2.0,2.0
26,27,28,<pyews.server_abstractions.Configuration object at 0x000002246D8B6DA0>,7,7,0,1,,,,,2.0,2.0
27,28,38,<pyews.server_abstractions.Configuration object at 0x000002246D86F700>,2,7,0,1,,,,,2.0,2.0
28,29,0,<pyews.server_abstractions.Configuration object at 0x0000022473E0C520>,31,7,0,1,,,,,2.0,2.0
29,30,37,<pyews.server_abstractions.Configuration object at 0x000002246D86FFA0>,0,6,0,1,,,,,2.0,2.0
30,31,33,<pyews.server_abstractions.Configuration object at 0x000002246D8B6080>,6,7,0,1,,,,,2.0,2.0
31,32,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,5,1,0,,,,,2.0,2.0
32,33,28,<pyews.server_abstractions.Configuration object at 0x000002246D8B6DA0>,7,7,0,1,,,,,2.0,2.0
33,34,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,4,1,0,,,,,2.0,2.0
34,35,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,6,1,0,,,,,2.0,2.0
35,36,14,<pyews.server_abstractions.Configuration object at 0x0000022473E0F2E0>,35,4,1,0,,,,,2.0,2.0
36,37,16,<pyews.server_abstractions.Configuration object at 0x0000022473E20160>,36,6,1,0,,,,,2.0,2.0
37,38,24,<pyews.server_abstractions.Configuration object at 0x000002246D8D9C60>,16,7,1,0,,,,,2.0,2.0
38,39,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,1,0,,,,,0.15866666666666668,0.17264681008681748
39,40,35,<pyews.server_abstractions.Configuration object at 0x000002246D8C51E0>,10,6,0,1,,,,,2.0,2.0
40,41,28,<pyews.server_abstractions.Configuration object at 0x000002246D8B6DA0>,7,7,1,0,,,,,2.0,2.0
41,42,28,<pyews.server_abstractions.Configuration object at 0x000002246D8B6DA0>,7,7,0,1,,,,,2.0,2.0
42,43,34,<pyews.server_abstractions.Configuration object at 0x000002246D8C7760>,13,7,1,0,,,,,2.0,2.0
43,44,24,<pyews.server_abstractions.Configuration object at 0x000002246D8D9C60>,16,7,0,1,,,,,2.0,2.0
44,45,12,<pyews.server_abstractions.Configuration object at 0x000002246D8EE8C0>,23,6,0,1,,,,,2.0,2.0
45,46,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,5,1,0,,,,,0.12266666666666666,0.1854343365664084
46,47,13,<pyews.server_abstractions.Configuration object at 0x000002246D8C5DE0>,11,7,1,0,,,,,2.0,2.0
47,48,37,<pyews.server_abstractions.Configuration object at 0x000002246D86FFA0>,0,7,1,0,,,,,2.0,2.0
48,49,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,6,1,0,,,,,2.0,2.0
49,50,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,0,1,,,,,0.4155555555555555,0.3054506676452877
50,51,6,<pyews.server_abstractions.Configuration object at 0x0000022473E0D960>,33,5,1,0,,,,,0.18533333333333332,0.26437782470823623
51,52,10,<pyews.server_abstractions.Configuration object at 0x000002246D8FDBA0>,27,7,0,1,,,,,2.0,2.0
52,53,6,<pyews.server_abstractions.Configuration object at 0x0000022473E0D960>,33,6,1,0,,,,,0.2877777777777778,0.26437782470823623
53,54,25,<pyews.server_abstractions.Configuration object at 0x000002246D8B4AC0>,4,7,1,0,,,,,2.0,2.0
54,55,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,5,1,0,,,,,2.0,2.0
55,56,28,<pyews.server_abstractions.Configuration object at 0x000002246D8B6DA0>,7,7,0,1,,,,,2.0,2.0
56,57,9,<pyews.server_abstractions.Configuration object at 0x000002246D8EF4C0>,24,7,0,1,,,,,2.0,2.0
57,58,39,<pyews.server_abstractions.Configuration object at 0x0000022473E0CE80>,32,5,1,0,,,,,2.0,2.0
58,59,24,<pyews.server_abstractions.Configuration object at 0x000002246D8D9C60>,16,6,0,1,,,,,2.0,2.0
59,60,14,<pyews.server_abstractions.Configuration object at 0x0000022473E0F2E0>,35,5,1,0,,,,,2.0,2.0
60,61,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,6,1,0,,,,,2.0,2.0
61,62,28,<pyews.server_abstractions.Configuration object at 0x000002246D8B6DA0>,7,6,0,1,,,,,2.0,2.0
62,63,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,4,1,0,,,,,2.0,2.0
63,64,16,<pyews.server_abstractions.Configuration object at 0x0000022473E20160>,36,6,1,0,,,,,2.0,2.0
64,65,39,<pyews.server_abstractions.Configuration object at 0x0000022473E0CE80>,32,6,1,0,5.6554155349731445,3.7124087810516357,,,2.0,2.0
65,66,37,<pyews.server_abstractions.Configuration object at 0x000002246D86FFA0>,0,8,1,0,125004.421875,115314.9375,,,2.0,2.0
66,67,19,<pyews.server_abstractions.Configuration object at 0x000002246D8FCE80>,26,6,1,0,35.45207977294922,50.160003662109375,,,2.0,2.0
67,68,6,<pyews.server_abstractions.Configuration object at 0x0000022473E0D960>,33,6,0,1,2.728850841522217,4.601919174194336,,,0.24166666666666667,0.26437782470823623
