Unnamed: 0,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
0,1,20,<pyews.server_abstractions.Configuration object at 0x000001EBB48ED000>,20,33,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,30,40,0.2854285714285714,0.1854343365664084
1,2,3,<pyews.server_abstractions.Configuration object at 0x000001EBB48D8400>,13,38,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB4863FA0>,27,0,2.0,2.0
2,3,26,<pyews.server_abstractions.Configuration object at 0x000001EBB48FF3A0>,28,40,0,1,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB48EC6A0>,41,19,2.0,2.0
3,4,2,<pyews.server_abstractions.Configuration object at 0x000001EBB48C9000>,9,38,0,1,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB48B4F70>,19,2,2.0,2.0
4,5,16,<pyews.server_abstractions.Configuration object at 0x000001EBB48DBB80>,18,40,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB48EF520>,22,23,2.0,2.0
5,6,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,32,0,1,,,,,0.23373695196572883,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB4863F40>,39,1,2.0,2.0
6,7,13,<pyews.server_abstractions.Configuration object at 0x000001EBB48DA8C0>,16,39,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB48FE800>,11,27,2.0,2.0
7,8,0,<pyews.server_abstractions.Configuration object at 0x000001EBB48FC160>,24,38,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,30,40,0.2443010752688172,0.1854343365664084
8,9,23,<pyews.server_abstractions.Configuration object at 0x000001EBB48EE920>,22,38,0,1,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB4921A80>,28,37,0.2423958333333333,0.308151228202052
9,10,29,<pyews.server_abstractions.Configuration object at 0x000001EBB48D9D20>,15,41,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,30,40,0.2461458333333333,0.1854343365664084
10,11,28,<pyews.server_abstractions.Configuration object at 0x000001EBB4921A80>,37,35,0,1,,,,,0.21620421387049063,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,25,33,0.2797297297297296,0.2643778247082362
11,12,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,32,0,1,,,,,0.2319661186323955,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB48B7A00>,40,7,2.0,2.0
12,13,13,<pyews.server_abstractions.Configuration object at 0x000001EBB48DA8C0>,16,39,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB4920DC0>,6,36,2.0,2.0
13,14,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,33,0,1,,,,,0.23292571459199143,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB48B7A00>,40,7,2.0,2.0
14,15,13,<pyews.server_abstractions.Configuration object at 0x000001EBB48DA8C0>,16,42,0,1,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB48B4F70>,19,2,2.0,2.0
15,16,0,<pyews.server_abstractions.Configuration object at 0x000001EBB48FC160>,24,38,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB49106A0>,24,30,2.0,2.0
16,17,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,38,1,0,,,,,0.2688082238955534,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB48FDAE0>,36,26,2.0,2.0
17,18,13,<pyews.server_abstractions.Configuration object at 0x000001EBB48DA8C0>,16,38,0,1,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,25,33,0.2922222222222222,0.2643778247082362
18,19,38,<pyews.server_abstractions.Configuration object at 0x000001EBB4923580>,39,30,0,1,,,,,0.14774389641017321,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x000001EBB48B4F70>,19,2,2.0,2.0
19,20,2,<pyews.server_abstractions.Configuration object at 0x000001EBB48C9000>,9,39,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB48EF520>,22,23,2.0,2.0
20,21,31,<pyews.server_abstractions.Configuration object at 0x000001EBB48CAA40>,11,38,0,1,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB48C9E40>,1,10,2.0,2.0
21,22,34,<pyews.server_abstractions.Configuration object at 0x000001EBB4913F40>,35,34,1,0,,,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB48D8400>,3,13,2.0,2.0
