,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
0,1,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,32,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADA710>,33,16,2.0,2.0
1,2,28,<pyews.server_abstractions.Configuration object at 0x00000203D7AF1930>,21,35,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADA710>,33,16,2.0,2.0
2,3,7,<pyews.server_abstractions.Configuration object at 0x00000203D7AF0E50>,20,32,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
3,4,35,<pyews.server_abstractions.Configuration object at 0x00000203D7AB7850>,7,37,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,34,8,0.1708333333333333,0.26912595698583663
4,5,7,<pyews.server_abstractions.Configuration object at 0x00000203D7AF0E50>,20,29,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B22710>,0,38,2.0,2.0
5,6,21,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,33,36,0,1,,,,,0.35305555555555557,0.26437782470823623,<pyews.server_abstractions.Configuration object at 0x00000203D7ACA890>,3,11,2.0,2.0
6,7,13,<pyews.server_abstractions.Configuration object at 0x00000203D7ACB490>,12,39,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7A67FA0>,10,0,2.0,2.0
7,8,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,30,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.2581720430107527,0.26437782470823623
8,9,24,<pyews.server_abstractions.Configuration object at 0x00000203D7A67F40>,1,35,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AB6B30>,40,6,2.0,2.0
9,10,39,<pyews.server_abstractions.Configuration object at 0x00000203D7AB5570>,4,37,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AB6050>,2,5,2.0,2.0
